subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstRelevantManeuvres,ttc,transformedTimeToFirstManoevres
1,1,1,1,4,EVENT_MAT_LEFT_VRU,0.5,4.32364743,6.5
1,2,1,0,7,EVENT_MAT_LEFT_VRU,-0.7333,3.940550947,5.2667
1,3,0,1,13,EVENT_MAT_LEFT_VRU,0.7166,4.340097579,6.7166
1,4,0,0,24,EVENT_MAT_LEFT_VRU,0.5,2.691761716,6.5
2,1,1,1,4,EVENT_MAT_LEFT_VRU,0.2,3.00967068,6.2
2,2,1,0,8,EVENT_MAT_LEFT_VRU,0.5334,2.675193682,6.5334
2,3,0,0,16,EVENT_MAT_LEFT_VRU,0.45,2.748048784,6.45
2,4,0,1,19,EVENT_MAT_LEFT_VRU,0.3667,2.566055445,6.3667
3,1,1,1,4,EVENT_MAT_LEFT_VRU,0.3166,1.88343897,6.3166
3,2,0,1,8,EVENT_MAT_LEFT_VRU,0.4667,2.126022294,6.4667
3,3,1,0,15,EVENT_MAT_LEFT_VRU,0.7833,2.405959816,6.7833
3,4,0,0,22,EVENT_MAT_LEFT_VRU,0.7166,2.49898069,6.7166
4,1,1,1,5,EVENT_MAT_LEFT_VRU,-2.2167,6.292510029,3.7833
4,2,0,1,8,EVENT_MAT_LEFT_VRU,-3.1667,6.900267189,2.8333
4,3,0,0,16,EVENT_MAT_LEFT_VRU,0.4334,2.769237712,6.4334
4,4,1,0,24,EVENT_MAT_LEFT_VRU,0.4333,2.784776409,6.4333
5,1,1,1,3,EVENT_MAT_LEFT_VRU,0.4,0.893515354,6.4
5,2,0,0,7,EVENT_MAT_LEFT_VRU,0.55,2.65441287,6.55
5,4,0,1,22,EVENT_MAT_LEFT_VRU,0.4666,2.763288943,6.4666
6,1,1,1,2,EVENT_MAT_LEFT_VRU,0.7834,2.140995404,6.7834
6,2,0,0,11,EVENT_MAT_LEFT_VRU,0.7667,2.4371175,6.7667
6,3,0,1,15,EVENT_MAT_LEFT_VRU,0.7834,1.683455547,6.7834
6,4,1,0,22,EVENT_MAT_LEFT_VRU,0.9334,2.233180721,6.9334
7,1,1,0,6,EVENT_MAT_LEFT_VRU,0.3667,2.840181069,6.3667
7,2,1,1,11,EVENT_MAT_LEFT_VRU,0.8,2.881274519,6.8
7,3,0,1,15,EVENT_MAT_LEFT_VRU,0.6334,2.06698354,6.6334
7,4,0,0,19,EVENT_MAT_LEFT_VRU,0.5167,2.672374524,6.5167
8,1,1,0,5,EVENT_MAT_LEFT_VRU,0.6833,2.53836843,6.6833
8,2,1,1,11,EVENT_MAT_LEFT_VRU,0.6833,2.08801592,6.6833
8,3,0,0,15,EVENT_MAT_LEFT_VRU,0.8,2.380335056,6.8
8,4,0,1,20,EVENT_MAT_LEFT_VRU,0.5334,2.268531909,6.5334
