subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstRelevantManeuvres,transformedTimeToFirstRelevantManeuvres,ttc
1,1,1,1,2,EVENT_MAT_ONCOMING,-3.1334,2.8666,5.933721532
1,2,1,0,9,EVENT_MAT_ONCOMING,-2.3666,3.6334,4.874099583
1,3,0,1,16,EVENT_MAT_ONCOMING,0.1666,6.1666,1.06185063
1,4,0,0,19,EVENT_MAT_ONCOMING,-3.3167,2.6833,5.777875514
2,1,1,1,1,EVENT_MAT_ONCOMING,0.2167,6.2167,1.190628019
2,2,1,0,7,EVENT_MAT_ONCOMING,0.3834,6.3834,2.087728809
2,3,0,0,18,EVENT_MAT_ONCOMING,0.4166,6.4166,2.091607707
2,4,0,1,24,EVENT_MAT_ONCOMING,0.15,6.15,2.590723247
3,1,1,1,5,EVENT_MAT_ONCOMING,0.6167,6.6167,1.708245449
3,2,0,1,12,EVENT_MAT_ONCOMING,0.4167,6.4167,2.286876607
3,3,1,0,13,EVENT_MAT_ONCOMING,0.6833,6.6833,1.773200604
3,4,0,0,19,EVENT_MAT_ONCOMING,0.3,6.3,2.143671805
4,1,1,1,6,EVENT_MAT_ONCOMING,-3.8666,2.1334,6.86963715
4,2,0,1,10,EVENT_MAT_ONCOMING,0.6167,6.6167,3.778428451
4,3,0,0,18,EVENT_MAT_ONCOMING,0.4166,6.4166,2.088302148
4,4,1,0,23,EVENT_MAT_ONCOMING,0.4167,6.4167,2.09686333
5,1,1,1,5,EVENT_MAT_ONCOMING,-4.2667,1.7333,6.410639112
5,2,0,0,12,EVENT_MAT_ONCOMING,-2.9833,3.0167,5.479696769
5,4,0,1,23,EVENT_MAT_ONCOMING,-3.2834,2.7166,7.023552583
6,1,1,1,3,EVENT_MAT_ONCOMING,0.5,6.5,2.736059811
6,2,0,0,12,EVENT_MAT_ONCOMING,0.4166,6.4166,2.107525668
6,3,0,1,16,EVENT_MAT_ONCOMING,0.6167,6.6167,3.412790698
6,4,1,0,20,EVENT_MAT_ONCOMING,0.3833,6.3833,2.06323111
7,1,1,0,5,EVENT_MAT_ONCOMING,0.6,6.6,1.911389645
7,2,1,1,8,EVENT_MAT_ONCOMING,0.6667,6.6667,1.494176544
7,3,0,1,13,EVENT_MAT_ONCOMING,0.5666,6.5666,1.328475742
7,4,0,0,23,EVENT_MAT_ONCOMING,-0.75,5.25,3.262315419
8,1,1,0,4,EVENT_MAT_ONCOMING,0.8,6.8,1.685394273
8,2,1,1,8,EVENT_MAT_ONCOMING,0.85,6.85,1.171867542
8,3,0,0,14,EVENT_MAT_ONCOMING,-0.8667,5.1333,3.318128523
8,4,0,1,19,EVENT_MAT_ONCOMING,-0.1,5.9,4.174456145
9,1,1,0,5,EVENT_MAT_ONCOMING,0.55,6.55,1.951486898
9,2,0,1,8,EVENT_MAT_ONCOMING,-4.5667,1.4333,6.941221087
9,3,1,1,17,EVENT_MAT_ONCOMING,0.5,6.5,2.120129302
9,4,0,0,19,EVENT_MAT_ONCOMING,0.4667,6.4667,1.982428439
11,1,1,0,6,EVENT_MAT_ONCOMING,1,7,0.115747622
11,2,0,0,10,EVENT_MAT_ONCOMING,-4.7833,1.2167,7.310996977
11,3,1,1,14,EVENT_MAT_ONCOMING,-3.8333,2.1667,3.323271243
11,4,0,1,24,EVENT_MAT_ONCOMING,-1.2667,4.7333,5.046170564
12,1,1,0,6,EVENT_MAT_ONCOMING,0.4833,6.4833,2.013294433
12,2,0,0,9,EVENT_MAT_ONCOMING,0.35,6.35,2.161095094
12,3,0,1,14,EVENT_MAT_ONCOMING,0.45,6.45,2.01728986
12,4,1,1,22,EVENT_MAT_ONCOMING,0.4,6.4,3.4677733
13,1,0,1,3,EVENT_MAT_ONCOMING,0.7,6.7,2.217952448
13,2,1,1,7,EVENT_MAT_ONCOMING,0.5834,6.5834,2.937334302
13,3,1,0,17,EVENT_MAT_ONCOMING,-3.4833,2.5167,5.979209432
13,4,0,0,20,EVENT_MAT_ONCOMING,-1.2,4.8,3.651036061
14,1,0,1,2,EVENT_MAT_ONCOMING,0.8167,6.8167,0.975517387
14,2,1,1,10,EVENT_MAT_ONCOMING,0.9667,6.9667,3.138126087
14,3,0,0,18,EVENT_MAT_ONCOMING,0.4167,6.4167,2.077478833
