subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstRelevantManeuvres,transformedTimeToFirstManoevres,ttc
1,1,1,1,6,EVENT_MAT_RIGHT_VRU,0.8667,4.8667,4.423050636
1,2,1,0,12,EVENT_MAT_RIGHT_VRU,0.7167,4.7167,2.946923615
1,3,0,1,15,EVENT_MAT_RIGHT_VRU,0.25,4.25,5.169650636
1,4,0,0,22,EVENT_MAT_RIGHT_VRU,-1.0167,2.9833,4.696162416
2,1,1,1,5,EVENT_MAT_RIGHT_VRU,-1.2667,2.7333,5.536130518
2,2,1,0,10,EVENT_MAT_RIGHT_VRU,0.9667,4.9667,2.710887121
2,3,0,0,17,EVENT_MAT_RIGHT_VRU,0.5167,4.5167,3.130063757
2,4,0,1,23,EVENT_MAT_RIGHT_VRU,0.9334,4.9334,2.704754703
3,1,1,1,2,EVENT_MAT_RIGHT_VRU,1.8333,5.8333,1.293085522
3,2,0,1,11,EVENT_MAT_RIGHT_VRU,2.0167,6.0167,2.693782729
3,3,1,0,18,EVENT_MAT_RIGHT_VRU,1.0666,5.0666,2.585386761
3,4,0,0,21,EVENT_MAT_RIGHT_VRU,1.0834,5.0834,2.564146185
4,1,1,1,3,EVENT_MAT_RIGHT_VRU,-0.5166,3.4834,4.905253909
4,2,0,1,12,EVENT_MAT_RIGHT_VRU,-0.6,3.4,5.498139785
4,3,0,0,13,EVENT_MAT_RIGHT_VRU,0.85,4.85,2.785192658
4,4,1,0,19,EVENT_MAT_RIGHT_VRU,0.15,4.15,3.513798701
5,1,1,1,2,EVENT_MAT_RIGHT_VRU,,,
5,2,0,0,10,EVENT_MAT_RIGHT_VRU,0.5,4.5,3.162934781
5,4,0,1,20,EVENT_MAT_RIGHT_VRU,-0.7833,3.2167,4.529755618
6,1,1,1,5,EVENT_MAT_RIGHT_VRU,0.8167,4.8167,2.62923171
6,2,0,0,9,EVENT_MAT_RIGHT_VRU,0.95,4.95,2.735733588
6,3,0,1,13,EVENT_MAT_RIGHT_VRU,0.4833,4.4833,2.708334239
6,4,1,0,23,EVENT_MAT_RIGHT_VRU,2.7166,6.7166,0.929344271
7,1,1,0,3,EVENT_MAT_RIGHT_VRU,0.7666,4.7666,2.9048361
7,2,1,1,7,EVENT_MAT_RIGHT_VRU,0.7,4.7,2.965934921
7,3,0,1,18,EVENT_MAT_RIGHT_VRU,0.8667,4.8667,2.309304655
7,4,0,0,20,EVENT_MAT_RIGHT_VRU,0.9167,4.9167,2.74658415
8,1,1,0,1,EVENT_MAT_RIGHT_VRU,1.2,5.2,2.477734775
8,2,1,1,10,EVENT_MAT_RIGHT_VRU,1.1333,5.1333,3.509476553
8,3,0,0,16,EVENT_MAT_RIGHT_VRU,0.8166,4.8166,2.850147151
8,4,0,1,23,EVENT_MAT_RIGHT_VRU,0.6333,4.6333,3.090867103
9,1,1,0,1,EVENT_MAT_RIGHT_VRU,0.55,4.55,3.135464758
9,2,0,1,10,EVENT_MAT_RIGHT_VRU,0.75,4.75,3.159282633
9,3,1,1,14,EVENT_MAT_RIGHT_VRU,-3.2666,0.7334,7.15270464
9,4,0,0,20,EVENT_MAT_RIGHT_VRU,0.8667,4.8667,2.804798928
11,1,1,0,3,EVENT_MAT_RIGHT_VRU,0.9333,4.9333,5.140698419
11,2,0,0,9,EVENT_MAT_RIGHT_VRU,-0.0167,3.9833,4.390817986
11,3,1,1,13,EVENT_MAT_RIGHT_VRU,-1.85,2.15,4.70235624
11,4,0,1,21,EVENT_MAT_RIGHT_VRU,0.8833,4.8833,6.724318795
12,1,1,0,3,EVENT_MAT_RIGHT_VRU,0.8667,4.8667,2.798476282
12,2,0,0,8,EVENT_MAT_RIGHT_VRU,0.8334,4.8334,2.803727072
12,3,0,1,17,EVENT_MAT_RIGHT_VRU,1.0333,5.0333,3.858696731
12,4,1,1,20,EVENT_MAT_RIGHT_VRU,1.0333,5.0333,3.601739624
13,1,0,1,1,EVENT_MAT_RIGHT_VRU,0.9667,4.9667,2.426769791
13,2,1,1,8,EVENT_MAT_RIGHT_VRU,0.3833,4.3833,3.436404324
13,3,1,0,14,EVENT_MAT_RIGHT_VRU,0.6834,4.6834,2.9748805
13,4,0,0,24,EVENT_MAT_RIGHT_VRU,0.7167,4.7167,2.929785506
14,1,0,1,5,EVENT_MAT_RIGHT_VRU,1.0833,5.0833,3.121207269
14,2,1,1,12,EVENT_MAT_RIGHT_VRU,1.2167,5.2167,3.191680778
14,3,0,0,13,EVENT_MAT_RIGHT_VRU,0.65,4.65,3.011248289
14,4,1,0,21,EVENT_MAT_RIGHT_VRU,0.85,4.85,2.81586317
15,1,0,1,4,EVENT_MAT_RIGHT_VRU,-0.0666,3.9334,4.579465084
15,2,1,0,12,EVENT_MAT_RIGHT_VRU,1.1333,5.1333,2.520393727
15,3,1,1,13,EVENT_MAT_RIGHT_VRU,0.75,4.75,4.377158727
15,4,0,0,21,EVENT_MAT_RIGHT_VRU,1.2833,5.2833,2.378611
16,1,0,1,6,EVENT_MAT_RIGHT_VRU,1.7,5.7,5.473099655
16,2,1,0,9,EVENT_MAT_RIGHT_VRU,0.75,4.75,4.648894649
16,3,0,0,18,EVENT_MAT_RIGHT_VRU,-2.1333,1.8667,6.74522339
16,4,1,1,24,EVENT_MAT_RIGHT_VRU,-1.05,2.95,4.762085494
17,1,0,1,1,EVENT_MAT_RIGHT_VRU,0.5,4.5,2.089377853
17,2,0,0,12,EVENT_MAT_RIGHT_VRU,0.3833,4.3833,3.280072477
17,3,1,0,16,EVENT_MAT_RIGHT_VRU,0.7667,4.7667,5.039826435
17,4,1,1,23,EVENT_MAT_RIGHT_VRU,-0.6333,3.3667,4.366948951
18,1,0,1,1,EVENT_MAT_RIGHT_VRU,0.8667,4.8667,2.964154162
18,2,0,0,8,EVENT_MAT_RIGHT_VRU,0.4833,4.4833,3.176760643
18,3,1,1,16,EVENT_MAT_RIGHT_VRU,-2.5,1.5,7.299067899
18,4,1,0,24,EVENT_MAT_RIGHT_VRU,0.2667,4.2667,3.400300786
19,1,0,0,1,EVENT_MAT_RIGHT_VRU,1.4,5.4,2.256547458
19,2,1,1,9,EVENT_MAT_RIGHT_VRU,0.6833,4.6833,2.442627533
19,3,1,0,13,EVENT_MAT_RIGHT_VRU,0.4667,4.4667,3.203058431
19,4,0,1,23,EVENT_MAT_RIGHT_VRU,0.8833,4.8833,3.242371632
