subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,reactionStatus
1,1,1,1,1,EVENT_NON_MAT_ONCOMING,0
1,2,1,0,10,EVENT_NON_MAT_ONCOMING,1
1,3,0,1,18,EVENT_NON_MAT_ONCOMING,1
1,4,0,0,23,EVENT_NON_MAT_ONCOMING,1
2,1,1,1,3,EVENT_NON_MAT_ONCOMING,1
2,2,1,0,9,EVENT_NON_MAT_ONCOMING,1
2,3,0,0,15,EVENT_NON_MAT_ONCOMING,1
2,4,0,1,20,EVENT_NON_MAT_ONCOMING,1
3,1,1,1,6,EVENT_NON_MAT_ONCOMING,1
3,2,0,1,7,EVENT_NON_MAT_ONCOMING,0
3,3,1,0,14,EVENT_NON_MAT_ONCOMING,0
3,4,0,0,23,EVENT_NON_MAT_ONCOMING,0
4,1,1,1,2,EVENT_NON_MAT_ONCOMING,1
4,2,0,1,7,EVENT_NON_MAT_ONCOMING,0
4,3,0,0,17,EVENT_NON_MAT_ONCOMING,1
4,4,1,0,20,EVENT_NON_MAT_ONCOMING,0
5,1,1,1,1,EVENT_NON_MAT_ONCOMING,1
5,2,0,0,8,EVENT_NON_MAT_ONCOMING,0
5,4,0,1,19,EVENT_NON_MAT_ONCOMING,0
6,1,1,1,4,EVENT_NON_MAT_ONCOMING,1
6,2,0,0,7,EVENT_NON_MAT_ONCOMING,0
6,3,0,1,14,EVENT_NON_MAT_ONCOMING,0
6,4,1,0,19,EVENT_NON_MAT_ONCOMING,0
7,1,1,0,4,EVENT_NON_MAT_ONCOMING,1
7,2,1,1,12,EVENT_NON_MAT_ONCOMING,1
7,3,0,1,16,EVENT_NON_MAT_ONCOMING,1
7,4,0,0,21,EVENT_NON_MAT_ONCOMING,1
8,1,1,0,6,EVENT_NON_MAT_ONCOMING,1
8,2,1,1,12,EVENT_NON_MAT_ONCOMING,1
8,3,0,0,18,EVENT_NON_MAT_ONCOMING,1
8,4,0,1,24,EVENT_NON_MAT_ONCOMING,1
9,1,1,0,6,EVENT_NON_MAT_ONCOMING,1
9,2,0,1,11,EVENT_NON_MAT_ONCOMING,1
9,3,1,1,18,EVENT_NON_MAT_ONCOMING,1
9,4,0,0,21,EVENT_NON_MAT_ONCOMING,1
11,1,1,0,4,EVENT_NON_MAT_ONCOMING,0
11,2,0,0,7,EVENT_NON_MAT_ONCOMING,0
11,3,1,1,18,EVENT_NON_MAT_ONCOMING,1
11,4,0,1,22,EVENT_NON_MAT_ONCOMING,1
12,1,1,0,5,EVENT_NON_MAT_ONCOMING,1
12,2,0,0,10,EVENT_NON_MAT_ONCOMING,1
12,3,0,1,15,EVENT_NON_MAT_ONCOMING,1
12,4,1,1,24,EVENT_NON_MAT_ONCOMING,1
13,1,0,1,5,EVENT_NON_MAT_ONCOMING,1
13,2,1,1,10,EVENT_NON_MAT_ONCOMING,1
13,3,1,0,13,EVENT_NON_MAT_ONCOMING,0
13,4,0,0,21,EVENT_NON_MAT_ONCOMING,1
14,1,0,1,1,EVENT_NON_MAT_ONCOMING,0
14,2,1,1,11,EVENT_NON_MAT_ONCOMING,1
14,3,0,0,15,EVENT_NON_MAT_ONCOMING,1
14,4,1,0,24,EVENT_NON_MAT_ONCOMING,0
15,1,0,1,3,EVENT_NON_MAT_ONCOMING,1
15,2,1,0,8,EVENT_NON_MAT_ONCOMING,0
15,3,1,1,16,EVENT_NON_MAT_ONCOMING,1
15,4,0,0,23,EVENT_NON_MAT_ONCOMING,1
16,1,0,1,2,EVENT_NON_MAT_ONCOMING,1
16,2,1,0,12,EVENT_NON_MAT_ONCOMING,1
16,3,0,0,17,EVENT_NON_MAT_ONCOMING,1
16,4,1,1,20,EVENT_NON_MAT_ONCOMING,0
17,1,0,1,6,EVENT_NON_MAT_ONCOMING,1
17,2,0,0,8,EVENT_NON_MAT_ONCOMING,0
17,3,1,0,14,EVENT_NON_MAT_ONCOMING,0
17,4,1,1,21,EVENT_NON_MAT_ONCOMING,1
18,1,0,1,2,EVENT_NON_MAT_ONCOMING,1
18,2,0,0,10,EVENT_NON_MAT_ONCOMING,1
18,3,1,1,15,EVENT_NON_MAT_ONCOMING,0
18,4,1,0,19,EVENT_NON_MAT_ONCOMING,0
19,1,0,0,4,EVENT_NON_MAT_ONCOMING,1
19,2,1,1,12,EVENT_NON_MAT_ONCOMING,1
19,3,1,0,14,EVENT_NON_MAT_ONCOMING,0
19,4,0,1,22,EVENT_NON_MAT_ONCOMING,1
22,1,0,0,1,EVENT_NON_MAT_ONCOMING,0
22,2,1,0,8,EVENT_NON_MAT_ONCOMING,0
22,3,0,1,15,EVENT_NON_MAT_ONCOMING,1
22,4,1,1,20,EVENT_NON_MAT_ONCOMING,0
23,1,0,0,2,EVENT_NON_MAT_ONCOMING,1
23,2,0,1,10,EVENT_NON_MAT_ONCOMING,1
23,3,1,1,13,EVENT_NON_MAT_ONCOMING,0
23,4,1,0,19,EVENT_NON_MAT_ONCOMING,0
25,1,1,1,2,EVENT_NON_MAT_ONCOMING,0
25,2,1,0,11,EVENT_NON_MAT_ONCOMING,1
