subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
2,1,1,1,4,EVENT_MAT_LEFT_VRU,4.003078
2,2,1,0,8,EVENT_MAT_LEFT_VRU,0
2,3,0,0,16,EVENT_MAT_LEFT_VRU,3.48002
2,4,0,1,19,EVENT_MAT_LEFT_VRU,2.630894
3,1,1,1,4,EVENT_MAT_LEFT_VRU,3.669048
3,2,0,1,8,EVENT_MAT_LEFT_VRU,2.482125
3,3,1,0,15,EVENT_MAT_LEFT_VRU,3.008975
3,4,0,0,22,EVENT_MAT_LEFT_VRU,2.400331
4,1,1,1,5,EVENT_MAT_LEFT_VRU,2.768767
4,2,0,1,8,EVENT_MAT_LEFT_VRU,4.688482
4,3,0,0,16,EVENT_MAT_LEFT_VRU,3.155731
4,4,1,0,24,EVENT_MAT_LEFT_VRU,0.025716
5,1,1,1,3,EVENT_MAT_LEFT_VRU,4.534951
5,4,0,1,22,EVENT_MAT_LEFT_VRU,2.563188
6,1,1,1,2,EVENT_MAT_LEFT_VRU,2.598034
6,2,0,0,11,EVENT_MAT_LEFT_VRU,2.462621
6,3,0,1,15,EVENT_MAT_LEFT_VRU,3.284928
6,4,1,0,22,EVENT_MAT_LEFT_VRU,2.717399
7,1,1,0,6,EVENT_MAT_LEFT_VRU,3.677565
7,2,1,1,11,EVENT_MAT_LEFT_VRU,0.921667
7,3,0,1,15,EVENT_MAT_LEFT_VRU,4.479953
8,1,1,0,5,EVENT_MAT_LEFT_VRU,2.957389
8,2,1,1,11,EVENT_MAT_LEFT_VRU,0.411467
8,3,0,0,15,EVENT_MAT_LEFT_VRU,1.551536
8,4,0,1,20,EVENT_MAT_LEFT_VRU,1.2944
9,2,0,1,7,EVENT_MAT_LEFT_VRU,3.435636
9,3,1,1,16,EVENT_MAT_LEFT_VRU,1.851606
9,4,0,0,23,EVENT_MAT_LEFT_VRU,2.404351
11,1,1,0,5,EVENT_MAT_LEFT_VRU,4.243231
11,2,0,0,12,EVENT_MAT_LEFT_VRU,4.95492
11,3,1,1,16,EVENT_MAT_LEFT_VRU,0.544765
11,4,0,1,19,EVENT_MAT_LEFT_VRU,1.011566
12,1,1,0,1,EVENT_MAT_LEFT_VRU,0.493037
12,2,0,0,11,EVENT_MAT_LEFT_VRU,3.309075
12,3,0,1,18,EVENT_MAT_LEFT_VRU,1.825979
12,4,1,1,23,EVENT_MAT_LEFT_VRU,3.463379
13,1,0,1,2,EVENT_MAT_LEFT_VRU,0.695733
13,2,1,1,11,EVENT_MAT_LEFT_VRU,3.574743
13,3,1,0,15,EVENT_MAT_LEFT_VRU,0.970288
13,4,0,0,23,EVENT_MAT_LEFT_VRU,1.868801
15,1,0,1,1,EVENT_MAT_LEFT_VRU,4.389126
15,2,1,0,9,EVENT_MAT_LEFT_VRU,3.077641
15,3,1,1,18,EVENT_MAT_LEFT_VRU,2.684858
17,1,0,1,2,EVENT_MAT_LEFT_VRU,1.354425
17,2,0,0,11,EVENT_MAT_LEFT_VRU,1.105848
17,3,1,0,17,EVENT_MAT_LEFT_VRU,1.835562
17,4,1,1,20,EVENT_MAT_LEFT_VRU,1.63735
18,2,0,0,12,EVENT_MAT_LEFT_VRU,1.114462
18,3,1,1,13,EVENT_MAT_LEFT_VRU,2.588938
18,4,1,0,23,EVENT_MAT_LEFT_VRU,0.368632
19,1,0,0,5,EVENT_MAT_LEFT_VRU,4.643198
19,2,1,1,8,EVENT_MAT_LEFT_VRU,1.032437
19,3,1,0,16,EVENT_MAT_LEFT_VRU,5.477938
19,4,0,1,19,EVENT_MAT_LEFT_VRU,4.118169
22,1,0,0,2,EVENT_MAT_LEFT_VRU,7.324177
22,2,1,0,11,EVENT_MAT_LEFT_VRU,5.014519
22,3,0,1,14,EVENT_MAT_LEFT_VRU,5.727184
22,4,1,1,21,EVENT_MAT_LEFT_VRU,1.517211
23,1,0,0,4,EVENT_MAT_LEFT_VRU,2.468939
23,2,0,1,9,EVENT_MAT_LEFT_VRU,3.488937
23,3,1,1,16,EVENT_MAT_LEFT_VRU,2.228899
23,4,1,0,24,EVENT_MAT_LEFT_VRU,2.785406
25,1,1,1,3,EVENT_MAT_LEFT_VRU,0.771782
25,2,1,0,12,EVENT_MAT_LEFT_VRU,2.160308
25,3,0,1,13,EVENT_MAT_LEFT_VRU,2.051809
25,4,0,0,21,EVENT_MAT_LEFT_VRU,1.52591
26,1,1,1,2,EVENT_MAT_LEFT_VRU,3.746167
26,2,1,0,8,EVENT_MAT_LEFT_VRU,5.135106
26,4,0,1,20,EVENT_MAT_LEFT_VRU,4.588252
28,1,1,1,4,EVENT_MAT_LEFT_VRU,3.0817
