subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
2,1,1,1,1,EVENT_MAT_ONCOMING,5.0919
2,2,1,0,7,EVENT_MAT_ONCOMING,0
2,3,0,0,18,EVENT_MAT_ONCOMING,0.30001
2,4,0,1,24,EVENT_MAT_ONCOMING,1.237485
3,1,1,1,5,EVENT_MAT_ONCOMING,0.265749
3,2,0,1,12,EVENT_MAT_ONCOMING,0.300041
3,3,1,0,13,EVENT_MAT_ONCOMING,0.13716
3,4,0,0,19,EVENT_MAT_ONCOMING,1.133884
4,1,1,1,6,EVENT_MAT_ONCOMING,0.882921
4,2,0,1,10,EVENT_MAT_ONCOMING,0.062621
4,3,0,0,18,EVENT_MAT_ONCOMING,4.594545
4,4,1,0,23,EVENT_MAT_ONCOMING,0.780064
5,1,1,1,5,EVENT_MAT_ONCOMING,3.283341
5,4,0,1,23,EVENT_MAT_ONCOMING,2.666061
6,1,1,1,3,EVENT_MAT_ONCOMING,2.383131
6,2,0,0,12,EVENT_MAT_ONCOMING,1.279226
6,3,0,1,16,EVENT_MAT_ONCOMING,4.124042
6,4,1,0,20,EVENT_MAT_ONCOMING,3.556658
7,1,1,0,5,EVENT_MAT_ONCOMING,4.010629
7,2,1,1,8,EVENT_MAT_ONCOMING,1.598331
7,3,0,1,13,EVENT_MAT_ONCOMING,3.05142
8,1,1,0,4,EVENT_MAT_ONCOMING,0.060005
8,2,1,1,8,EVENT_MAT_ONCOMING,1.440138
8,3,0,0,14,EVENT_MAT_ONCOMING,0.908634
8,4,0,1,19,EVENT_MAT_ONCOMING,0.145727
9,2,0,1,8,EVENT_MAT_ONCOMING,2.897382
9,3,1,1,17,EVENT_MAT_ONCOMING,2.359613
9,4,0,0,19,EVENT_MAT_ONCOMING,0.377187
11,1,1,0,6,EVENT_MAT_ONCOMING,3.643594
11,2,0,0,10,EVENT_MAT_ONCOMING,1.234434
11,3,1,1,14,EVENT_MAT_ONCOMING,1.028675
11,4,0,1,24,EVENT_MAT_ONCOMING,0.420813
12,1,1,0,6,EVENT_MAT_ONCOMING,1.954576
12,2,0,0,9,EVENT_MAT_ONCOMING,1.072226
12,3,0,1,14,EVENT_MAT_ONCOMING,2.616624
12,4,1,1,22,EVENT_MAT_ONCOMING,0.831555
13,1,0,1,3,EVENT_MAT_ONCOMING,1.525883
13,2,1,1,7,EVENT_MAT_ONCOMING,2.100274
13,3,1,0,17,EVENT_MAT_ONCOMING,0.48087
13,4,0,0,20,EVENT_MAT_ONCOMING,0
15,1,0,1,5,EVENT_MAT_ONCOMING,2.673372
15,2,1,0,7,EVENT_MAT_ONCOMING,0.857279
15,3,1,1,15,EVENT_MAT_ONCOMING,2.850814
17,1,0,1,5,EVENT_MAT_ONCOMING,4.586224
17,2,0,0,9,EVENT_MAT_ONCOMING,3.457353
17,3,1,0,13,EVENT_MAT_ONCOMING,1.928715
17,4,1,1,19,EVENT_MAT_ONCOMING,2.69177
18,2,0,0,7,EVENT_MAT_ONCOMING,1.431653
18,3,1,1,18,EVENT_MAT_ONCOMING,0.519319
18,4,1,0,21,EVENT_MAT_ONCOMING,0.773024
19,1,0,0,6,EVENT_MAT_ONCOMING,5.040691
19,2,1,1,10,EVENT_MAT_ONCOMING,4.234945
19,3,1,0,17,EVENT_MAT_ONCOMING,0.487602
19,4,0,1,21,EVENT_MAT_ONCOMING,2.846164
22,1,0,0,4,EVENT_MAT_ONCOMING,4.491461
22,2,1,0,10,EVENT_MAT_ONCOMING,0.428592
22,3,0,1,16,EVENT_MAT_ONCOMING,3.934394
22,4,1,1,19,EVENT_MAT_ONCOMING,0.8293
23,1,0,0,6,EVENT_MAT_ONCOMING,2.726129
23,2,0,1,11,EVENT_MAT_ONCOMING,4.770613
23,3,1,1,18,EVENT_MAT_ONCOMING,3.309102
23,4,1,0,20,EVENT_MAT_ONCOMING,0
25,1,1,1,5,EVENT_MAT_ONCOMING,0.050238
25,2,1,0,10,EVENT_MAT_ONCOMING,0.695486
25,3,0,1,17,EVENT_MAT_ONCOMING,1.765926
25,4,0,0,19,EVENT_MAT_ONCOMING,0.855731
26,1,1,1,3,EVENT_MAT_ONCOMING,4.022193
26,2,1,0,11,EVENT_MAT_ONCOMING,1.943565
26,4,0,1,19,EVENT_MAT_ONCOMING,1.954585
28,1,1,1,6,EVENT_MAT_ONCOMING,3.4117
28,2,0,1,11,EVENT_MAT_ONCOMING,0.797217
28,3,0,0,17,EVENT_MAT_ONCOMING,0.085723
28,4,1,0,23,EVENT_MAT_ONCOMING,1.065626
29,1,1,1,3,EVENT_MAT_ONCOMING,0.300026
29,2,0,0,8,EVENT_MAT_ONCOMING,0.385755
29,3,1,0,14,EVENT_MAT_ONCOMING,0.402881
29,4,0,1,24,EVENT_MAT_ONCOMING,0
30,1,1,1,1,EVENT_MAT_ONCOMING,0.265743
30,2,0,0,8,EVENT_MAT_ONCOMING,0.144206
30,3,0,1,14,EVENT_MAT_ONCOMING,2.828855
31,1,1,0,5,EVENT_MAT_ONCOMING,0.668569
31,2,1,1,9,EVENT_MAT_ONCOMING,0
31,3,0,1,18,EVENT_MAT_ONCOMING,0.120011
31,4,0,0,21,EVENT_MAT_ONCOMING,0.154293
32,1,1,0,5,EVENT_MAT_ONCOMING,2.054798
32,2,1,1,9,EVENT_MAT_ONCOMING,4.107382
32,3,0,0,14,EVENT_MAT_ONCOMING,0.094872
32,4,0,1,20,EVENT_MAT_ONCOMING,0.025718
33,1,1,0,3,EVENT_MAT_ONCOMING,0.171438
33,2,0,1,11,EVENT_MAT_ONCOMING,0.505746
33,3,1,1,13,EVENT_MAT_ONCOMING,2.029104
33,4,0,0,24,EVENT_MAT_ONCOMING,2.157032
34,1,1,0,1,EVENT_MAT_ONCOMING,0.222889
34,2,0,1,12,EVENT_MAT_ONCOMING,0.017146
34,3,0,0,15,EVENT_MAT_ONCOMING,0.73144
34,4,1,1,21,EVENT_MAT_ONCOMING,1.105897
35,1,1,0,3,EVENT_MAT_ONCOMING,1.443629
35,2,0,0,10,EVENT_MAT_ONCOMING,3.968716
35,3,1,1,16,EVENT_MAT_ONCOMING,0.117879
35,4,0,1,20,EVENT_MAT_ONCOMING,0.373013
36,1,1,0,2,EVENT_MAT_ONCOMING,0.994421
36,2,0,0,10,EVENT_MAT_ONCOMING,0.073918
36,3,0,1,15,EVENT_MAT_ONCOMING,1.10585
36,4,1,1,20,EVENT_MAT_ONCOMING,0
37,1,0,1,2,EVENT_MAT_ONCOMING,3.480295
37,2,1,1,7,EVENT_MAT_ONCOMING,1.217337
37,3,1,0,17,EVENT_MAT_ONCOMING,6.129313
37,4,0,0,22,EVENT_MAT_ONCOMING,1.174434
38,1,0,1,2,EVENT_MAT_ONCOMING,0.15744
38,2,1,1,9,EVENT_MAT_ONCOMING,0.709819
38,3,0,0,13,EVENT_MAT_ONCOMING,3.875488
38,4,1,0,20,EVENT_MAT_ONCOMING,0.214297
39,1,0,1,4,EVENT_MAT_ONCOMING,3.970846
39,3,1,1,13,EVENT_MAT_ONCOMING,3.20619
40,1,0,1,5,EVENT_MAT_ONCOMING,1.439845
40,2,1,0,8,EVENT_MAT_ONCOMING,1.002739
40,3,0,0,14,EVENT_MAT_ONCOMING,0
40,4,1,1,19,EVENT_MAT_ONCOMING,0
41,1,0,1,3,EVENT_MAT_ONCOMING,4.988971
41,2,0,0,9,EVENT_MAT_ONCOMING,5.794827
41,3,1,0,15,EVENT_MAT_ONCOMING,0.831518
41,4,1,1,21,EVENT_MAT_ONCOMING,0.735446
43,1,0,0,1,EVENT_MAT_ONCOMING,0.068574
43,2,1,1,12,EVENT_MAT_ONCOMING,0
43,3,1,0,14,EVENT_MAT_ONCOMING,0.126401
43,4,0,1,24,EVENT_MAT_ONCOMING,0
