subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
2,1,1,1,5,EVENT_MAT_RIGHT_VRU,3.085911
2,2,1,0,10,EVENT_MAT_RIGHT_VRU,2.76014
2,3,0,0,17,EVENT_MAT_RIGHT_VRU,0.462866
2,4,0,1,23,EVENT_MAT_RIGHT_VRU,4.66795
3,1,1,1,2,EVENT_MAT_RIGHT_VRU,2.22381
3,2,0,1,11,EVENT_MAT_RIGHT_VRU,0
3,3,1,0,18,EVENT_MAT_RIGHT_VRU,2.86325
3,4,0,0,21,EVENT_MAT_RIGHT_VRU,3.517734
4,1,1,1,3,EVENT_MAT_RIGHT_VRU,1.251981
4,2,0,1,12,EVENT_MAT_RIGHT_VRU,4.69752
4,3,0,0,13,EVENT_MAT_RIGHT_VRU,6.079771
4,4,1,0,19,EVENT_MAT_RIGHT_VRU,0.340773
5,1,1,1,2,EVENT_MAT_RIGHT_VRU,2.271
5,4,0,1,20,EVENT_MAT_RIGHT_VRU,0.222885
6,1,1,1,5,EVENT_MAT_RIGHT_VRU,3.111779
6,2,0,0,9,EVENT_MAT_RIGHT_VRU,4.859998
6,3,0,1,13,EVENT_MAT_RIGHT_VRU,3.523338
6,4,1,0,23,EVENT_MAT_RIGHT_VRU,5.626994
7,1,1,0,3,EVENT_MAT_RIGHT_VRU,3.694201
7,2,1,1,7,EVENT_MAT_RIGHT_VRU,1.439859
7,3,0,1,18,EVENT_MAT_RIGHT_VRU,0.368545
8,1,1,0,1,EVENT_MAT_RIGHT_VRU,3.403123
8,2,1,1,10,EVENT_MAT_RIGHT_VRU,2.610239
8,3,0,0,16,EVENT_MAT_RIGHT_VRU,3.109131
8,4,0,1,23,EVENT_MAT_RIGHT_VRU,0.557191
9,2,0,1,10,EVENT_MAT_RIGHT_VRU,0.265739
9,3,1,1,14,EVENT_MAT_RIGHT_VRU,3.83176
9,4,0,0,20,EVENT_MAT_RIGHT_VRU,1.694538
11,1,1,0,3,EVENT_MAT_RIGHT_VRU,0.589864
11,2,0,0,9,EVENT_MAT_RIGHT_VRU,2.323133
11,3,1,1,13,EVENT_MAT_RIGHT_VRU,1.8859
11,4,0,1,21,EVENT_MAT_RIGHT_VRU,2.440715
12,1,1,0,3,EVENT_MAT_RIGHT_VRU,0.591512
12,2,0,0,8,EVENT_MAT_RIGHT_VRU,0.86708
