subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
2,1,1,1,6,EVENT_NON_MAT_LEFT_VRU,1.031
2,2,1,0,11,EVENT_NON_MAT_LEFT_VRU,1.277223
2,3,0,0,13,EVENT_NON_MAT_LEFT_VRU,1.140065
2,4,0,1,22,EVENT_NON_MAT_LEFT_VRU,1.163
3,1,1,1,3,EVENT_NON_MAT_LEFT_VRU,0
3,2,0,1,9,EVENT_NON_MAT_LEFT_VRU,3.49843
3,3,1,0,16,EVENT_NON_MAT_LEFT_VRU,2.571776
3,4,0,0,20,EVENT_NON_MAT_LEFT_VRU,2.528921
4,1,1,1,4,EVENT_NON_MAT_LEFT_VRU,1.800122
4,2,0,1,11,EVENT_NON_MAT_LEFT_VRU,5.989526
4,3,0,0,14,EVENT_NON_MAT_LEFT_VRU,1.200056
4,4,1,0,21,EVENT_NON_MAT_LEFT_VRU,0.50338
5,1,1,1,6,EVENT_NON_MAT_LEFT_VRU,4.166313
5,4,0,1,24,EVENT_NON_MAT_LEFT_VRU,0.557215
6,1,1,1,1,EVENT_NON_MAT_LEFT_VRU,1.496263
6,2,0,0,10,EVENT_NON_MAT_LEFT_VRU,2.091683
6,3,0,1,17,EVENT_NON_MAT_LEFT_VRU,4.740527
6,4,1,0,21,EVENT_NON_MAT_LEFT_VRU,2.631697
7,1,1,0,1,EVENT_NON_MAT_LEFT_VRU,0
7,2,1,1,9,EVENT_NON_MAT_LEFT_VRU,0.721307
7,3,0,1,17,EVENT_NON_MAT_LEFT_VRU,3.436911
8,1,1,0,2,EVENT_NON_MAT_LEFT_VRU,0.402889
8,2,1,1,9,EVENT_NON_MAT_LEFT_VRU,1.400908
8,3,0,0,17,EVENT_NON_MAT_LEFT_VRU,1.302951
8,4,0,1,22,EVENT_NON_MAT_LEFT_VRU,2.348775
9,2,0,1,9,EVENT_NON_MAT_LEFT_VRU,2.876039
9,3,1,1,13,EVENT_NON_MAT_LEFT_VRU,3.463135
9,4,0,0,24,EVENT_NON_MAT_LEFT_VRU,0
11,1,1,0,1,EVENT_NON_MAT_LEFT_VRU,0.23193
11,2,0,0,8,EVENT_NON_MAT_LEFT_VRU,3.759438
11,3,1,1,15,EVENT_NON_MAT_LEFT_VRU,0.857231
11,4,0,1,20,EVENT_NON_MAT_LEFT_VRU,5.134989
12,1,1,0,2,EVENT_NON_MAT_LEFT_VRU,0.294522
12,2,0,0,12,EVENT_NON_MAT_LEFT_VRU,2.766657
12,3,0,1,16,EVENT_NON_MAT_LEFT_VRU,2.757957
12,4,1,1,21,EVENT_NON_MAT_LEFT_VRU,0.977291
13,1,0,1,4,EVENT_NON_MAT_LEFT_VRU,3.634702
13,2,1,1,12,EVENT_NON_MAT_LEFT_VRU,0.025717
13,3,1,0,16,EVENT_NON_MAT_LEFT_VRU,1.345874
13,4,0,0,19,EVENT_NON_MAT_LEFT_VRU,2.597465
15,1,0,1,2,EVENT_NON_MAT_LEFT_VRU,3.746213
15,2,1,0,10,EVENT_NON_MAT_LEFT_VRU,2.991918
15,3,1,1,17,EVENT_NON_MAT_LEFT_VRU,4.180128
17,1,0,1,4,EVENT_NON_MAT_LEFT_VRU,2.588853
17,2,0,0,7,EVENT_NON_MAT_LEFT_VRU,2.606038
17,3,1,0,15,EVENT_NON_MAT_LEFT_VRU,0.660058
17,4,1,1,24,EVENT_NON_MAT_LEFT_VRU,2.44
18,2,0,0,9,EVENT_NON_MAT_LEFT_VRU,0.617241
18,3,1,1,17,EVENT_NON_MAT_LEFT_VRU,2.753144
18,4,1,0,20,EVENT_NON_MAT_LEFT_VRU,0.892626
19,1,0,0,3,EVENT_NON_MAT_LEFT_VRU,1.988825
19,2,1,1,7,EVENT_NON_MAT_LEFT_VRU,2.614696
19,3,1,0,15,EVENT_NON_MAT_LEFT_VRU,3.055599
19,4,0,1,24,EVENT_NON_MAT_LEFT_VRU,2.580403
22,1,0,0,5,EVENT_NON_MAT_LEFT_VRU,3.617195
22,2,1,0,7,EVENT_NON_MAT_LEFT_VRU,4.05812
22,3,0,1,13,EVENT_NON_MAT_LEFT_VRU,7.207706
22,4,1,1,24,EVENT_NON_MAT_LEFT_VRU,3.694444
23,1,0,0,3,EVENT_NON_MAT_LEFT_VRU,2.478173
23,2,0,1,8,EVENT_NON_MAT_LEFT_VRU,4.346417
23,3,1,1,14,EVENT_NON_MAT_LEFT_VRU,3.262139
23,4,1,0,23,EVENT_NON_MAT_LEFT_VRU,0.53286
25,1,1,1,1,EVENT_NON_MAT_LEFT_VRU,0.402906
25,2,1,0,7,EVENT_NON_MAT_LEFT_VRU,1.569526
25,3,0,1,15,EVENT_NON_MAT_LEFT_VRU,1.02012
25,4,0,0,24,EVENT_NON_MAT_LEFT_VRU,0
26,1,1,1,5,EVENT_NON_MAT_LEFT_VRU,3.694779
26,2,1,0,12,EVENT_NON_MAT_LEFT_VRU,2.520393
26,4,0,1,24,EVENT_NON_MAT_LEFT_VRU,1.269521
28,1,1,1,5,EVENT_NON_MAT_LEFT_VRU,4.508947
28,2,0,1,12,EVENT_NON_MAT_LEFT_VRU,4.321089
28,3,0,0,14,EVENT_NON_MAT_LEFT_VRU,2.965988
28,4,1,0,21,EVENT_NON_MAT_LEFT_VRU,2.396265
29,1,1,1,4,EVENT_NON_MAT_LEFT_VRU,0.977225
29,2,0,0,9,EVENT_NON_MAT_LEFT_VRU,1.835262
29,3,1,0,17,EVENT_NON_MAT_LEFT_VRU,1.465166
29,4,0,1,20,EVENT_NON_MAT_LEFT_VRU,1.00477
30,1,1,1,5,EVENT_NON_MAT_LEFT_VRU,1.054408
30,2,0,0,10,EVENT_NON_MAT_LEFT_VRU,1.243013
30,3,0,1,17,EVENT_NON_MAT_LEFT_VRU,3.257497
31,1,1,0,6,EVENT_NON_MAT_LEFT_VRU,0.925724
31,2,1,1,7,EVENT_NON_MAT_LEFT_VRU,0
31,3,0,1,13,EVENT_NON_MAT_LEFT_VRU,0.942963
31,4,0,0,23,EVENT_NON_MAT_LEFT_VRU,0.788615
32,1,1,0,4,EVENT_NON_MAT_LEFT_VRU,1.903111
32,2,1,1,10,EVENT_NON_MAT_LEFT_VRU,2.98331
32,3,0,0,15,EVENT_NON_MAT_LEFT_VRU,2.037433
32,4,0,1,19,EVENT_NON_MAT_LEFT_VRU,7.003946
33,1,1,0,1,EVENT_NON_MAT_LEFT_VRU,0.701124
33,2,0,1,12,EVENT_NON_MAT_LEFT_VRU,3.231622
33,3,1,1,17,EVENT_NON_MAT_LEFT_VRU,1.688696
33,4,0,0,19,EVENT_NON_MAT_LEFT_VRU,0.222877
34,1,1,0,4,EVENT_NON_MAT_LEFT_VRU,0.514365
34,2,0,1,10,EVENT_NON_MAT_LEFT_VRU,0.960147
34,3,0,0,18,EVENT_NON_MAT_LEFT_VRU,0.467346
34,4,1,1,20,EVENT_NON_MAT_LEFT_VRU,0.30005
35,1,1,0,2,EVENT_NON_MAT_LEFT_VRU,2.303473
