subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
2,1,1,1,3,EVENT_NON_MAT_ONCOMING,4.011641
2,2,1,0,9,EVENT_NON_MAT_ONCOMING,0
2,3,0,0,15,EVENT_NON_MAT_ONCOMING,0.274286
2,4,0,1,20,EVENT_NON_MAT_ONCOMING,4.21841
3,1,1,1,6,EVENT_NON_MAT_ONCOMING,0
3,2,0,1,7,EVENT_NON_MAT_ONCOMING,0.118157
3,3,1,0,14,EVENT_NON_MAT_ONCOMING,0
3,4,0,0,23,EVENT_NON_MAT_ONCOMING,0.402912
4,1,1,1,2,EVENT_NON_MAT_ONCOMING,0.411455
4,2,0,1,7,EVENT_NON_MAT_ONCOMING,1.22582
4,3,0,0,17,EVENT_NON_MAT_ONCOMING,6.000325
4,4,1,0,20,EVENT_NON_MAT_ONCOMING,0.656371
5,1,1,1,1,EVENT_NON_MAT_ONCOMING,3.786801
5,4,0,1,19,EVENT_NON_MAT_ONCOMING,3.643296
6,1,1,1,4,EVENT_NON_MAT_ONCOMING,4.851974
6,2,0,0,7,EVENT_NON_MAT_ONCOMING,0.968719
6,3,0,1,14,EVENT_NON_MAT_ONCOMING,0.83705
6,4,1,0,19,EVENT_NON_MAT_ONCOMING,2.288858
7,1,1,0,4,EVENT_NON_MAT_ONCOMING,3.305927
7,2,1,1,12,EVENT_NON_MAT_ONCOMING,1.811136
7,3,0,1,16,EVENT_NON_MAT_ONCOMING,0.771606
8,1,1,0,6,EVENT_NON_MAT_ONCOMING,0
8,2,1,1,12,EVENT_NON_MAT_ONCOMING,0
8,3,0,0,18,EVENT_NON_MAT_ONCOMING,0.934354
8,4,0,1,24,EVENT_NON_MAT_ONCOMING,1.52213
9,2,0,1,11,EVENT_NON_MAT_ONCOMING,0.335207
9,3,1,1,18,EVENT_NON_MAT_ONCOMING,0.120217
9,4,0,0,21,EVENT_NON_MAT_ONCOMING,0.755771
11,1,1,0,4,EVENT_NON_MAT_ONCOMING,1.122952
11,2,0,0,7,EVENT_NON_MAT_ONCOMING,0.257173
11,3,1,1,18,EVENT_NON_MAT_ONCOMING,0.049495
11,4,0,1,22,EVENT_NON_MAT_ONCOMING,1.834535
12,1,1,0,5,EVENT_NON_MAT_ONCOMING,0.497453
12,2,0,0,10,EVENT_NON_MAT_ONCOMING,3.287384
12,3,0,1,15,EVENT_NON_MAT_ONCOMING,0.402916
12,4,1,1,24,EVENT_NON_MAT_ONCOMING,0.072621
13,1,0,1,5,EVENT_NON_MAT_ONCOMING,0.857243
13,2,1,1,10,EVENT_NON_MAT_ONCOMING,0.265748
