subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
2,1,1,1,2,EVENT_NON_MAT_RIGHT_VRU,0.731
2,2,1,0,12,EVENT_NON_MAT_RIGHT_VRU,4.174583
2,3,0,0,14,EVENT_NON_MAT_RIGHT_VRU,0.47144
2,4,0,1,21,EVENT_NON_MAT_RIGHT_VRU,0.447
3,1,1,1,1,EVENT_NON_MAT_RIGHT_VRU,0.80581
3,2,0,1,10,EVENT_NON_MAT_RIGHT_VRU,1.144521
3,3,1,0,17,EVENT_NON_MAT_RIGHT_VRU,2.484496
3,4,0,0,24,EVENT_NON_MAT_RIGHT_VRU,0.649895
4,1,1,1,1,EVENT_NON_MAT_RIGHT_VRU,0.994344
4,2,0,1,9,EVENT_NON_MAT_RIGHT_VRU,3.728882
4,3,0,0,15,EVENT_NON_MAT_RIGHT_VRU,1.380067
4,4,1,0,22,EVENT_NON_MAT_RIGHT_VRU,0
5,1,1,1,4,EVENT_NON_MAT_RIGHT_VRU,2.160315
5,4,0,1,21,EVENT_NON_MAT_RIGHT_VRU,1.392666
6,1,1,1,6,EVENT_NON_MAT_RIGHT_VRU,0.04
6,2,0,0,8,EVENT_NON_MAT_RIGHT_VRU,0.731
6,3,0,1,18,EVENT_NON_MAT_RIGHT_VRU,1.025
6,4,1,0,24,EVENT_NON_MAT_RIGHT_VRU,1.236
7,1,1,0,2,EVENT_NON_MAT_RIGHT_VRU,0.747
7,2,1,1,10,EVENT_NON_MAT_RIGHT_VRU,0.851822
7,3,0,1,14,EVENT_NON_MAT_RIGHT_VRU,0.282851
8,1,1,0,3,EVENT_NON_MAT_RIGHT_VRU,0.977223
8,2,1,1,7,EVENT_NON_MAT_RIGHT_VRU,0.291458
8,3,0,0,13,EVENT_NON_MAT_RIGHT_VRU,1.191506
8,4,0,1,21,EVENT_NON_MAT_RIGHT_VRU,2.038013
9,2,0,1,12,EVENT_NON_MAT_RIGHT_VRU,0.308602
9,3,1,1,15,EVENT_NON_MAT_RIGHT_VRU,0.634344
9,4,0,0,22,EVENT_NON_MAT_RIGHT_VRU,1.303009
11,1,1,0,2,EVENT_NON_MAT_RIGHT_VRU,3.593282
11,2,0,0,11,EVENT_NON_MAT_RIGHT_VRU,2.779462
11,3,1,1,17,EVENT_NON_MAT_RIGHT_VRU,3.058591
11,4,0,1,23,EVENT_NON_MAT_RIGHT_VRU,1.208735
12,1,1,0,4,EVENT_NON_MAT_RIGHT_VRU,0.245657
12,2,0,0,7,EVENT_NON_MAT_RIGHT_VRU,1.045878
12,3,0,1,13,EVENT_NON_MAT_RIGHT_VRU,1.560222
12,4,1,1,19,EVENT_NON_MAT_RIGHT_VRU,0.557229
13,1,0,1,6,EVENT_NON_MAT_RIGHT_VRU,0.600072
13,2,1,1,9,EVENT_NON_MAT_RIGHT_VRU,0.932212
13,3,1,0,18,EVENT_NON_MAT_RIGHT_VRU,1.062985
13,4,0,0,22,EVENT_NON_MAT_RIGHT_VRU,0
15,1,0,1,6,EVENT_NON_MAT_RIGHT_VRU,0.841
15,2,1,0,11,EVENT_NON_MAT_RIGHT_VRU,1.317002
15,3,1,1,14,EVENT_NON_MAT_RIGHT_VRU,1.142
17,1,0,1,3,EVENT_NON_MAT_RIGHT_VRU,1.328714
17,2,0,0,10,EVENT_NON_MAT_RIGHT_VRU,2.073658
17,3,1,0,18,EVENT_NON_MAT_RIGHT_VRU,3.000289
17,4,1,1,22,EVENT_NON_MAT_RIGHT_VRU,4.140518
18,2,0,0,11,EVENT_NON_MAT_RIGHT_VRU,0.832695
18,3,1,1,14,EVENT_NON_MAT_RIGHT_VRU,0.874413
18,4,1,0,22,EVENT_NON_MAT_RIGHT_VRU,0.771554
19,1,0,0,2,EVENT_NON_MAT_RIGHT_VRU,1.126
19,2,1,1,11,EVENT_NON_MAT_RIGHT_VRU,3.446247
19,3,1,0,18,EVENT_NON_MAT_RIGHT_VRU,1.603095
19,4,0,1,20,EVENT_NON_MAT_RIGHT_VRU,1.311635
22,1,0,0,6,EVENT_NON_MAT_RIGHT_VRU,0.061122
22,2,1,0,9,EVENT_NON_MAT_RIGHT_VRU,3.763033
22,3,0,1,18,EVENT_NON_MAT_RIGHT_VRU,4.341342
22,4,1,1,22,EVENT_NON_MAT_RIGHT_VRU,4.688781
23,1,0,0,5,EVENT_NON_MAT_RIGHT_VRU,1.894572
23,2,0,1,7,EVENT_NON_MAT_RIGHT_VRU,0.882
23,3,1,1,15,EVENT_NON_MAT_RIGHT_VRU,3.81267
23,4,1,0,22,EVENT_NON_MAT_RIGHT_VRU,2.460422
25,1,1,1,6,EVENT_NON_MAT_RIGHT_VRU,1.620218
25,2,1,0,8,EVENT_NON_MAT_RIGHT_VRU,1.285905
25,3,0,1,16,EVENT_NON_MAT_RIGHT_VRU,1.78262
25,4,0,0,20,EVENT_NON_MAT_RIGHT_VRU,4.723467
26,1,1,1,1,EVENT_NON_MAT_RIGHT_VRU,0.260421
26,2,1,0,9,EVENT_NON_MAT_RIGHT_VRU,0.60952
26,4,0,1,21,EVENT_NON_MAT_RIGHT_VRU,1.525948
28,1,1,1,2,EVENT_NON_MAT_RIGHT_VRU,0
28,2,0,1,10,EVENT_NON_MAT_RIGHT_VRU,0.994533
28,3,0,0,15,EVENT_NON_MAT_RIGHT_VRU,3.063786
28,4,1,0,22,EVENT_NON_MAT_RIGHT_VRU,0.797231
29,1,1,1,6,EVENT_NON_MAT_RIGHT_VRU,0.754348
29,2,0,0,7,EVENT_NON_MAT_RIGHT_VRU,1.700613
29,3,1,0,16,EVENT_NON_MAT_RIGHT_VRU,0.039473
29,4,0,1,22,EVENT_NON_MAT_RIGHT_VRU,0
30,1,1,1,3,EVENT_NON_MAT_RIGHT_VRU,0.272485
30,2,0,0,9,EVENT_NON_MAT_RIGHT_VRU,1.303021
30,3,0,1,16,EVENT_NON_MAT_RIGHT_VRU,3.583238
31,1,1,0,1,EVENT_NON_MAT_RIGHT_VRU,0.325713
31,2,1,1,10,EVENT_NON_MAT_RIGHT_VRU,1.13145
31,3,0,1,17,EVENT_NON_MAT_RIGHT_VRU,0.420037
31,4,0,0,19,EVENT_NON_MAT_RIGHT_VRU,0
32,1,1,0,3,EVENT_NON_MAT_RIGHT_VRU,0.756664
32,2,1,1,11,EVENT_NON_MAT_RIGHT_VRU,0
32,3,0,0,13,EVENT_NON_MAT_RIGHT_VRU,0
32,4,0,1,21,EVENT_NON_MAT_RIGHT_VRU,1.328769
33,1,1,0,4,EVENT_NON_MAT_RIGHT_VRU,1.088636
33,2,0,1,10,EVENT_NON_MAT_RIGHT_VRU,1.275742
33,3,1,1,15,EVENT_NON_MAT_RIGHT_VRU,0.745759
33,4,0,0,23,EVENT_NON_MAT_RIGHT_VRU,1.422987
34,1,1,0,6,EVENT_NON_MAT_RIGHT_VRU,0.102874
34,2,0,1,11,EVENT_NON_MAT_RIGHT_VRU,0
34,3,0,0,17,EVENT_NON_MAT_RIGHT_VRU,0.377203
34,4,1,1,19,EVENT_NON_MAT_RIGHT_VRU,0
35,1,1,0,4,EVENT_NON_MAT_RIGHT_VRU,3.565784
35,2,0,0,11,EVENT_NON_MAT_RIGHT_VRU,0.298
35,3,1,1,17,EVENT_NON_MAT_RIGHT_VRU,1.984869
35,4,0,1,22,EVENT_NON_MAT_RIGHT_VRU,1.750329
36,1,1,0,6,EVENT_NON_MAT_RIGHT_VRU,0.977299
36,2,0,0,9,EVENT_NON_MAT_RIGHT_VRU,0.565809
36,3,0,1,18,EVENT_NON_MAT_RIGHT_VRU,1.092046
36,4,1,1,24,EVENT_NON_MAT_RIGHT_VRU,0.229695
37,1,0,1,5,EVENT_NON_MAT_RIGHT_VRU,0.78
37,2,1,1,12,EVENT_NON_MAT_RIGHT_VRU,2.357488
37,3,1,0,14,EVENT_NON_MAT_RIGHT_VRU,2.615617
37,4,0,0,21,EVENT_NON_MAT_RIGHT_VRU,0.995001
38,1,0,1,5,EVENT_NON_MAT_RIGHT_VRU,1.322392
38,2,1,1,7,EVENT_NON_MAT_RIGHT_VRU,0.369815
38,3,0,0,18,EVENT_NON_MAT_RIGHT_VRU,0
38,4,1,0,21,EVENT_NON_MAT_RIGHT_VRU,3.306971
39,1,0,1,5,EVENT_NON_MAT_RIGHT_VRU,1.774488
39,2,1,0,9,EVENT_NON_MAT_RIGHT_VRU,0.66867
39,3,1,1,18,EVENT_NON_MAT_RIGHT_VRU,2.186079
40,1,0,1,1,EVENT_NON_MAT_RIGHT_VRU,0
40,2,1,0,12,EVENT_NON_MAT_RIGHT_VRU,0.280055
40,3,0,0,17,EVENT_NON_MAT_RIGHT_VRU,0.929933
40,4,1,1,23,EVENT_NON_MAT_RIGHT_VRU,0.540038
41,1,0,1,5,EVENT_NON_MAT_RIGHT_VRU,2.228755
41,2,0,0,11,EVENT_NON_MAT_RIGHT_VRU,3.420308
41,3,1,0,14,EVENT_NON_MAT_RIGHT_VRU,1.748761
41,4,1,1,22,EVENT_NON_MAT_RIGHT_VRU,0.714004
43,1,0,0,2,EVENT_NON_MAT_RIGHT_VRU,5.698019
43,2,1,1,7,EVENT_NON_MAT_RIGHT_VRU,0.251321
43,3,1,0,13,EVENT_NON_MAT_RIGHT_VRU,0.36831
43,4,0,1,23,EVENT_NON_MAT_RIGHT_VRU,0.380934
44,1,0,0,6,EVENT_NON_MAT_RIGHT_VRU,1.243037
44,2,1,1,7,EVENT_NON_MAT_RIGHT_VRU,0.205747
44,3,0,1,13,EVENT_NON_MAT_RIGHT_VRU,1.631259
44,4,1,0,24,EVENT_NON_MAT_RIGHT_VRU,0.642951
45,1,0,0,4,EVENT_NON_MAT_RIGHT_VRU,0.625766
45,2,1,0,12,EVENT_NON_MAT_RIGHT_VRU,0.625782
45,3,1,1,16,EVENT_NON_MAT_RIGHT_VRU,1.847082
45,4,0,1,24,EVENT_NON_MAT_RIGHT_VRU,0.360044
46,1,0,0,1,EVENT_NON_MAT_RIGHT_VRU,2.596836
46,2,1,0,10,EVENT_NON_MAT_RIGHT_VRU,1.062871
46,3,0,1,15,EVENT_NON_MAT_RIGHT_VRU,0.865728
46,4,1,1,21,EVENT_NON_MAT_RIGHT_VRU,0.011025
47,1,0,0,2,EVENT_NON_MAT_RIGHT_VRU,4.035163
47,2,0,1,8,EVENT_NON_MAT_RIGHT_VRU,1.823247
47,3,1,1,15,EVENT_NON_MAT_RIGHT_VRU,4.788717
48,1,0,0,4,EVENT_NON_MAT_RIGHT_VRU,0.081586
48,2,0,1,10,EVENT_NON_MAT_RIGHT_VRU,0.008369
48,3,1,0,15,EVENT_NON_MAT_RIGHT_VRU,0.291463
